Epoch,Average Reward
1,-135.7808297390054
2,-136.82145726704044
3,-131.19707597669174
4,-133.6309064335149
5,-128.41489668317533
6,-128.40499079584865
7,-128.40400016642354
8,-128.40308379697714
9,-128.4233328442134
10,-128.4399989428223
11,-128.44543759508156
12,-128.44094528956967
13,-128.45615382013688
14,-128.46968982360877
15,-128.47925180548316
16,-128.46395675766018
17,-128.44383015954796
18,-128.45254313887926
19,-128.44946769871817
20,-128.44901366280362
21,-128.44595616594816
22,-128.4471337509262
23,-128.42979791148844
24,-128.43004972619767
25,-128.4264714096474
26,-128.4301201646809
27,-128.44258763147894
28,-128.4554321139562
29,-128.43735592364553
30,-128.4247208274639
31,-128.39781531748423
32,-128.3964106117193
33,-128.3766538153935
34,-128.41794996920856
35,-128.41345716814882
36,-128.4217608010289
37,-128.41920607548053
38,-128.47404472583852
39,-128.48456168022506
40,-128.51976377546322
41,-128.54538107914777
42,-128.5553741371591
43,-128.5477072353264
44,-128.58023448192068
45,-128.57773953293827
46,-128.59865811994786
47,-128.6077057768736
48,-128.6201168553815
49,-128.62012146245985
50,-128.62792818863485
51,-128.6382538260883
52,-128.64569401021387
53,-128.6815820306505
54,-128.68979241270094
55,-128.63027189994884
56,-128.6417699674985
57,-128.66851424270092
58,-128.66221136756238
59,-128.66715651710618
60,-128.65306799912221
61,-128.66293729323462
62,-128.65072214930518
63,-128.65094865495004
64,-128.63131245255914
65,-128.61871115972647
66,-128.6301277633769
67,-128.62353422006942
68,-128.67205500714874
69,-128.66078591320928
70,-128.6558395810812
71,-128.6571714012247
72,-128.65710926141531
73,-128.64676968587904
74,-128.64972914270274
75,-128.61265456753907
76,-128.6144448684756
77,-128.6172955374863
78,-128.62369718785908
79,-128.60019242966868
80,-128.59975916958263
81,-128.5646883102642
82,-128.57156189776046
83,-128.56567447042409
84,-128.58654796487022
85,-128.58534904997538
86,-128.61565328184687
87,-128.61706991291848
